datetime,open,high,low,close
2026-03-12 02:00:00+00:00,5208.48,5211.53,5185.5,5190.63
2026-03-12 03:00:00+00:00,5190.63,5195.55,5187.12,5193.19
2026-03-12 04:00:00+00:00,5193.19,5194.11,5180.36,5182.44
2026-03-12 05:00:00+00:00,5182.44,5197.62,5177.12,5194.63
2026-03-12 06:00:00+00:00,5194.63,5210.16,5187.02,5206.36
2026-03-12 07:00:00+00:00,5206.36,5225.32,5204.59,5221.93
2026-03-12 08:00:00+00:00,5221.93,5229.78,5215.82,5218.16
2026-03-12 09:00:00+00:00,5218.16,5230.54,5214.45,5228.24
2026-03-12 10:00:00+00:00,5228.24,5231.74,5216.53,5222.46
2026-03-12 11:00:00+00:00,5222.46,5224.01,5212.8,5218.95
2026-03-12 12:00:00+00:00,5218.95,5225.68,5203.51,5221.42
2026-03-12 13:00:00+00:00,5221.42,5226.28,5186.07,5191.48
2026-03-12 14:00:00+00:00,5191.48,5203.38,5178.37,5182.82
2026-03-12 15:00:00+00:00,5182.82,5184.83,5149.55,5172.55
2026-03-12 16:00:00+00:00,5172.55,5178.15,5161.37,5163.51
2026-03-12 17:00:00+00:00,5163.51,5169.71,5142.71,5145.45
2026-03-12 18:00:00+00:00,5145.45,5152.53,5130.94,5134.45
2026-03-12 19:00:00+00:00,5134.45,5136.95,5119.17,5124.849999999999
2026-03-12 20:00:00+00:00,5124.849999999999,5130.76,5094.87,5118.63
2026-03-12 22:00:00+00:00,5118.63,5131.240000000001,5107.25,5131.18
2026-03-12 23:00:00+00:00,5131.18,5136.76,5124.01,5133.1
2026-03-13 00:00:00+00:00,5133.1,5150.76,5132.75,5149.29
2026-03-13 01:00:00+00:00,5149.29,5159.42,5144.150000000001,5159.42
2026-03-13 02:00:00+00:00,5159.42,5163.83,5145.85,5147.55
2026-03-13 03:00:00+00:00,5147.55,5152.2,5141.820000000001,5151.110000000001
2026-03-13 04:00:00+00:00,5151.110000000001,5153.46,5138.02,5139.67
2026-03-13 05:00:00+00:00,5139.67,5146.490000000001,5133.81,5138.41
2026-03-13 06:00:00+00:00,5138.41,5143.17,5121.16,5123.51
2026-03-13 07:00:00+00:00,5123.51,5129.7,5107.12,5120.62
2026-03-13 08:00:00+00:00,5120.62,5123.43,5097.2,5122.81
2026-03-13 09:00:00+00:00,5122.81,5132.56,5118.67,5124.740000000001
2026-03-13 10:00:00+00:00,5124.740000000001,5133.75,5115.14,5130.42
2026-03-13 11:00:00+00:00,5130.42,5143.2300000000005,5121.650000000001,5143.2
2026-03-13 12:00:00+00:00,5143.2,5157.08,5139.85,5153.780000000001
2026-03-13 13:00:00+00:00,5153.780000000001,5156.51,5132.17,5137.17
2026-03-13 14:00:00+00:00,5137.17,5143.400000000001,5071.3,5076.52
2026-03-13 15:00:00+00:00,5076.52,5106.72,5067.13,5070.33
2026-03-13 16:00:00+00:00,5070.33,5088.4800000000005,5054.2300000000005,5081.42
2026-03-13 17:00:00+00:00,5081.42,5099.150000000001,5078.58,5081.43
2026-03-13 18:00:00+00:00,5081.43,5087.22,5071.490000000001,5082.05
2026-03-13 19:00:00+00:00,5082.05,5085.31,5045.0,5051.8
2026-03-13 20:00:00+00:00,5051.8,5060.88,5047.58,5060.3
2026-03-15 22:00:00+00:00,5060.3,5078.92,5049.450000000001,5073.450000000001
2026-03-15 23:00:00+00:00,5073.450000000001,5074.6900000000005,5016.240000000001,5045.9400000000005
2026-03-16 00:00:00+00:00,5045.9400000000005,5079.4800000000005,5045.14,5074.06
2026-03-16 01:00:00+00:00,5074.06,5074.900000000001,5031.18,5064.360000000001
2026-03-16 02:00:00+00:00,5064.360000000001,5067.6,5046.320000000001,5052.05
2026-03-16 03:00:00+00:00,5052.05,5069.450000000001,5046.55,5067.7300000000005
2026-03-16 04:00:00+00:00,5067.7300000000005,5074.89,5060.97,5061.320000000001
2026-03-16 05:00:00+00:00,5061.320000000001,5068.8,5051.660000000001,5066.26
2026-03-16 06:00:00+00:00,5066.26,5084.570000000001,5054.14,5060.63
2026-03-16 07:00:00+00:00,5060.63,5064.93,5040.67,5044.55
2026-03-16 08:00:00+00:00,5044.55,5052.320000000001,5033.740000000001,5039.910000000001
2026-03-16 09:00:00+00:00,5039.910000000001,5040.17,5021.59,5024.25
2026-03-16 10:00:00+00:00,5024.25,5048.280000000001,5018.97,5047.56
2026-03-16 11:00:00+00:00,5047.56,5071.46,5041.42,5045.900000000001
2026-03-16 12:00:00+00:00,5045.900000000001,5073.4800000000005,5043.370000000001,5068.63
2026-03-16 13:00:00+00:00,5068.63,5083.04,5062.660000000001,5078.700000000001
2026-03-16 14:00:00+00:00,5078.700000000001,5086.51,5036.46,5044.64
2026-03-16 15:00:00+00:00,5044.64,5054.4800000000005,5032.59,5035.820000000001
2026-03-16 16:00:00+00:00,5035.820000000001,5047.51,5022.830000000001,5039.3
2026-03-16 17:00:00+00:00,5039.3,5052.42,5032.6900000000005,5040.0
2026-03-16 18:00:00+00:00,5040.0,5066.56,5038.610000000001,5061.46
2026-03-16 19:00:00+00:00,5061.46,5068.97,5056.8,5061.5
2026-03-16 20:00:00+00:00,5061.5,5070.200000000001,5053.410000000001,5053.490000000001
2026-03-16 22:00:00+00:00,5053.490000000001,5068.45,5050.99,5055.18
2026-03-16 23:00:00+00:00,5055.18,5068.13,5054.84,5065.44
2026-03-17 00:00:00+00:00,5065.44,5066.34,5050.77,5055.6
2026-03-17 01:00:00+00:00,5055.6,5080.52,5047.09,5080.5
2026-03-17 02:00:00+00:00,5080.5,5082.31,5072.39,5075.13
2026-03-17 03:00:00+00:00,5075.13,5086.11,5073.22,5079.96
2026-03-17 04:00:00+00:00,5079.96,5094.45,5078.72,5090.24
2026-03-17 05:00:00+00:00,5090.24,5096.9,5072.46,5073.46
2026-03-17 06:00:00+00:00,5073.46,5075.46,5057.46,5062.7
2026-03-17 07:00:00+00:00,5062.7,5080.82,5061.6,5073.94
2026-03-17 08:00:00+00:00,5073.94,5082.19,5071.41,5077.42
2026-03-17 09:00:00+00:00,5077.42,5078.57,5062.61,5063.13
2026-03-17 10:00:00+00:00,5063.13,5068.9,5044.39,5052.88
2026-03-17 11:00:00+00:00,5052.88,5064.2,5049.47,5055.86
2026-03-17 12:00:00+00:00,5055.86,5076.57,5052.06,5064.4800000000005
2026-03-17 13:00:00+00:00,5064.4800000000005,5084.48,5058.509999999999,5069.4
2026-03-17 14:00:00+00:00,5069.4,5073.45,5055.9,5060.65
2026-03-17 15:00:00+00:00,5060.65,5070.45,5026.44,5050.79
2026-03-17 16:00:00+00:00,5050.79,5058.889999999999,5044.679999999999,5055.009999999999
2026-03-17 17:00:00+00:00,5055.009999999999,5061.78,5049.62,5055.45
2026-03-17 18:00:00+00:00,5055.45,5062.12,5052.86,5056.679999999999
2026-03-17 19:00:00+00:00,5056.679999999999,5058.639999999999,5049.32,5053.23
2026-03-17 20:00:00+00:00,5053.23,5059.849999999999,5052.83,5058.98
2026-03-17 22:00:00+00:00,5058.98,5058.999999999999,5045.629999999999,5052.37
2026-03-17 23:00:00+00:00,5052.37,5056.139999999999,5051.169999999999,5055.32
2026-03-18 00:00:00+00:00,5055.32,5065.039999999999,5053.03,5056.91
2026-03-18 01:00:00+00:00,5056.91,5068.83,5044.07,5051.45
2026-03-18 02:00:00+00:00,5051.45,5059.97,5043.45,5044.92
2026-03-18 03:00:00+00:00,5044.92,5050.56,5039.06,5043.97
2026-03-18 04:00:00+00:00,5043.97,5046.52,5034.59,5040.13
2026-03-18 05:00:00+00:00,5040.13,5055.74,5037.72,5050.62
2026-03-18 06:00:00+00:00,5050.62,5069.32,5049.19,5062.31
2026-03-18 07:00:00+00:00,5062.31,5068.02,5043.03,5047.92
2026-03-18 08:00:00+00:00,5047.92,5049.74,5029.94,5040.7
2026-03-18 09:00:00+00:00,5040.7,5048.64,5037.57,5045.23
2026-03-18 10:00:00+00:00,5045.23,5045.26,5011.25,5020.89
2026-03-18 11:00:00+00:00,5020.89,5027.15,4977.49,4983.34
2026-03-18 12:00:00+00:00,4983.34,4985.49,4923.63,4934.46
2026-03-18 13:00:00+00:00,4934.46,4938.54,4887.22,4930.66
2026-03-18 14:00:00+00:00,4930.66,4947.71,4909.31,4922.34
2026-03-18 15:00:00+00:00,4922.34,4933.18,4913.9,4915.4
2026-03-18 16:00:00+00:00,4915.4,4943.32,4913.9,4939.72
2026-03-18 17:00:00+00:00,4939.72,4951.92,4936.91,4943.1
2026-03-18 18:00:00+00:00,4943.1,4952.16,4905.07,4905.9
2026-03-18 19:00:00+00:00,4905.9,4918.22,4891.09,4895.92
2026-03-18 20:00:00+00:00,4895.92,4901.69,4859.43,4871.48
2026-03-18 22:00:00+00:00,4871.48,4892.31,4856.3,4887.58
2026-03-18 23:00:00+00:00,4887.58,4895.67,4881.2,4889.83
2026-03-19 00:00:00+00:00,4889.83,4901.86,4888.41,4894.31
2026-03-19 01:00:00+00:00,4894.31,4920.34,4885.99,4902.83
2026-03-19 02:00:00+00:00,4902.83,4915.36,4894.57,4912.0
2026-03-19 03:00:00+00:00,4912.0,4919.25,4903.93,4904.35
2026-03-19 04:00:00+00:00,4904.35,4907.150000000001,4898.75,4903.22
2026-03-19 05:00:00+00:00,4903.22,4907.21,4879.9400000000005,4880.96
2026-03-19 06:00:00+00:00,4880.96,4895.75,4800.83,4816.64
2026-03-19 07:00:00+00:00,4816.64,4837.6900000000005,4779.900000000001,4780.72
2026-03-19 08:00:00+00:00,4780.72,4793.71,4739.900000000001,4762.4400000000005
2026-03-19 09:00:00+00:00,4762.4400000000005,4779.07,4740.87,4752.32
2026-03-19 10:00:00+00:00,4752.32,4773.25,4719.66,4732.37
2026-03-19 11:00:00+00:00,4732.37,4752.6900000000005,4703.74,4704.66
2026-03-19 12:00:00+00:00,4704.66,4707.08,4584.35,4627.83
2026-03-19 13:00:00+00:00,4627.83,4674.32,4555.35,4674.06
2026-03-19 14:00:00+00:00,4674.06,4702.34,4634.43,4654.9400000000005
2026-03-19 15:00:00+00:00,4654.9400000000005,4691.99,4619.26,4649.77
2026-03-19 16:00:00+00:00,4649.77,4679.82,4629.85,4638.35
2026-03-19 17:00:00+00:00,4638.35,4683.35,4626.85,4669.56
2026-03-19 18:00:00+00:00,4669.56,4676.52,4649.07,4676.33
2026-03-19 19:00:00+00:00,4676.33,4716.66,4676.18,4697.26
2026-03-19 20:00:00+00:00,4697.26,4715.16,4696.08,4702.71
2026-03-19 22:00:00+00:00,4702.71,4733.05,4691.83,4692.27
2026-03-19 23:00:00+00:00,4692.27,4704.13,4690.32,4699.51
2026-03-20 00:00:00+00:00,4699.51,4720.93,4697.93,4704.4800000000005
2026-03-20 01:00:00+00:00,4704.4800000000005,4755.64,4695.13,4733.07
2026-03-20 02:00:00+00:00,4733.07,4759.58,4726.13,4754.38
