datetime,open,high,low,close
2026-03-12 02:25:00+00:00,5208.48,5208.48,5207.26,5207.98
2026-03-12 02:30:00+00:00,5207.98,5211.53,5204.099999999999,5205.21
2026-03-12 02:35:00+00:00,5205.21,5205.92,5199.51,5200.16
2026-03-12 02:40:00+00:00,5200.16,5201.53,5195.43,5197.37
2026-03-12 02:45:00+00:00,5197.37,5198.21,5188.49,5190.37
2026-03-12 02:50:00+00:00,5190.37,5194.26,5185.5,5191.26
2026-03-12 02:55:00+00:00,5191.26,5194.89,5190.04,5190.63
2026-03-12 03:00:00+00:00,5190.63,5195.47,5188.31,5192.25
2026-03-12 03:05:00+00:00,5192.25,5194.7,5190.24,5192.93
2026-03-12 03:10:00+00:00,5192.93,5195.55,5191.87,5193.92
2026-03-12 03:15:00+00:00,5193.92,5193.92,5187.12,5192.31
2026-03-12 03:20:00+00:00,5192.31,5194.91,5190.83,5191.18
2026-03-12 03:25:00+00:00,5191.18,5193.22,5189.11,5191.61
2026-03-12 03:30:00+00:00,5191.61,5193.25,5187.81,5189.27
2026-03-12 03:35:00+00:00,5189.27,5192.24,5187.75,5188.57
2026-03-12 03:40:00+00:00,5188.57,5193.58,5188.34,5192.24
2026-03-12 03:45:00+00:00,5192.24,5193.65,5190.92,5193.34
2026-03-12 03:50:00+00:00,5193.34,5194.2,5192.12,5192.46
2026-03-12 03:55:00+00:00,5192.46,5194.37,5192.09,5193.19
2026-03-12 04:00:00+00:00,5193.19,5193.23,5189.72,5192.61
2026-03-12 04:05:00+00:00,5192.61,5193.37,5191.73,5192.67
2026-03-12 04:10:00+00:00,5192.67,5193.12,5191.38,5191.95
2026-03-12 04:15:00+00:00,5191.95,5194.11,5191.46,5193.849999999999
2026-03-12 04:20:00+00:00,5193.849999999999,5193.93,5190.66,5190.82
2026-03-12 04:25:00+00:00,5190.82,5193.25,5190.0,5192.61
2026-03-12 04:30:00+00:00,5192.61,5192.65,5188.0,5188.49
2026-03-12 04:35:00+00:00,5188.49,5189.88,5184.59,5185.14
2026-03-12 04:40:00+00:00,5185.14,5186.65,5183.58,5184.04
2026-03-12 04:45:00+00:00,5184.04,5186.43,5182.8,5185.27
2026-03-12 04:50:00+00:00,5185.27,5186.01,5181.99,5182.7
2026-03-12 04:55:00+00:00,5182.7,5183.26,5180.36,5182.44
2026-03-12 05:00:00+00:00,5182.44,5185.96,5182.13,5184.87
2026-03-12 05:05:00+00:00,5184.87,5186.95,5181.32,5186.52
2026-03-12 05:10:00+00:00,5186.52,5189.05,5185.27,5186.14
2026-03-12 05:15:00+00:00,5186.14,5189.04,5184.99,5186.97
2026-03-12 05:20:00+00:00,5186.97,5187.31,5181.3,5181.38
